County,Race,Candidate,Party,Votes,PercentageOfTotalVotes,JurisdictionName
Ferry,"Ferry, Pend Oreille, Stevens Superior Court Judge Position 1",Rebecca M. Baker,,2227,100,"Ferry, Pend Oreille, Stevens Superior Court"
Ferry,"Ferry, Pend Oreille, Stevens Superior Court Judge Position 2",Allen C. Nielson,,2354,100,"Ferry, Pend Oreille, Stevens Superior Court"
Ferry,PUD (COUNTYWIDE) PUBLIC UTILITY COMMISSIONER #3,Doug Aubertin,,2312,100,PUD (COUNTYWIDE)
Franklin,Statewide Initiative Measure 985 concerns transportation,Yes,,6251,32.78,Statewide
Franklin,Statewide Initiative Measure 985 concerns transportation,No,,12819,67.22,Statewide
Franklin,Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions,Yes,,8329,42.97,Statewide
Franklin,Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions,No,,11054,57.03,Statewide
Franklin,Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities,Yes,,13064,68.13,Statewide
Franklin,Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities,No,,6112,31.87,Statewide
Franklin,United States President/Vice President,Barack Obama / Joe Biden,Democratic Party Nominees,7361,37.37,United States
Franklin,United States President/Vice President,John McCain / Sarah Palin,Republican Party Nominees,12037,61.11,United States
Franklin,United States President/Vice President,Ralph Nader / Matt Gonzalez,Independent Candidates,157,0.8,United States
Franklin,United States President/Vice President,Gloria La Riva / Eugene Puryear,Socialism & Liberation Party Nominees,4,0.02,United States
Franklin,United States President/Vice President,James E. Harris / Alyson Kennedy,Socialist Workers Party Nominees,6,0.03,United States
Franklin,United States President/Vice President,Bob Barr / Wayne A. Root,Libertarian Party Nominees,57,0.29,United States
Franklin,United States President/Vice President,Chuck Baldwin / Darrell L. Castle,Constitution Party Nominees,63,0.32,United States
Franklin,United States President/Vice President,Cynthia McKinney / Rosa Clemente,Green Party Nominees,11,0.06,United States
Franklin,U.S. Congressional District 4 Representative,Doc Hastings,(Prefers Republican Party),12408,64.06,U.S. Congressional District 4
Franklin,U.S. Congressional District 4 Representative,George Fearing,(Prefers Democratic Party),6960,35.94,U.S. Congressional District 4
Franklin,Washington State Governor,Christine Gregoire,(Prefers Democratic Party),6365,32.41,Washington State
Franklin,Washington State Governor,Dino Rossi,(Prefers G.O.P. Party),13276,67.59,Washington State
Franklin,Washington State Lt. Governor,Brad Owen,(Prefers Democratic Party),8967,47.6,Washington State
Franklin,Washington State Lt. Governor,Marcia McCraw,(Prefers Republican Party),9873,52.4,Washington State
Franklin,Washington State Secretary of State,Sam Reed,(Prefers Republican Party),13009,68.84,Washington State
Franklin,Washington State Secretary of State,Jason Osgood,(Prefers Democratic Party),5889,31.16,Washington State
Franklin,Washington State State Treasurer,Allan Martin,(Prefers Republican Party),11718,62.8,Washington State
Franklin,Washington State State Treasurer,Jim McIntire,(Prefers Democratic Party),6941,37.2,Washington State
Franklin,Washington State State Auditor,Brian Sonntag,(Prefers Democratic Party),8550,45.75,Washington State
Franklin,Washington State State Auditor,J. Richard (Dick) McEntee,(Prefers Republican Party),10140,54.25,Washington State
Franklin,Washington State Attorney General,Rob McKenna,(Prefers Republican Party),13276,70.07,Washington State
Franklin,Washington State Attorney General,John Ladenburg,(Prefers Democratic Party),5671,29.93,Washington State
Franklin,Washington State Commissioner of Public Lands,Doug Sutherland,(Prefers Republican Party),12157,65.12,Washington State
Franklin,Washington State Commissioner of Public Lands,Peter J. Goldmark,(Prefers Democratic Party),6513,34.88,Washington State
Franklin,Washington State Superintendent of Public Instruction,Teresa (Terry) Bergeson,,7506,43.11,Washington State
Franklin,Washington State Superintendent of Public Instruction,Randy Dorn,,9905,56.89,Washington State
Franklin,Washington State Insurance Commissioner,Mike Kreidler,(Prefers Democratic Party),8102,44.03,Washington State
Franklin,Washington State Insurance Commissioner,John R. Adams,(Prefers Republican Party),10300,55.97,Washington State
Franklin,Legislative District 9 State Senator,Mark G. Schoesler,(Prefers G.O.P. Party),2637,100,Legislative District 9
Franklin,Legislative District 9 State Representative Pos. 1,Steve Hailey,(Prefers G.O.P. Party),2611,86.77,Legislative District 9
Franklin,Legislative District 9 State Representative Pos. 1,Kenneth E. Caylor,(Prefers Democratic Party),398,13.23,Legislative District 9
Franklin,Legislative District 9 State Representative Pos. 2,Joe Schmick,(Prefers Republican Party),2392,81.72,Legislative District 9
Franklin,Legislative District 9 State Representative Pos. 2,Tyana Kelley,(Prefers Democratic Party),535,18.28,Legislative District 9
Franklin,Legislative District 16 State Senator,Mike Hewitt,(Prefers Republican Party),13123,100,Legislative District 16
Franklin,Legislative District 16 State Representative Pos. 1,Maureen Walsh,(Prefers Republican Party),10181,65.13,Legislative District 16
Franklin,Legislative District 16 State Representative Pos. 1,Dante Lee Montoya,(Prefers Democratic Party),5452,34.87,Legislative District 16
Franklin,Legislative District 16 State Representative Pos. 2,Bill Grant,(Prefers Democratic Party),8257,52.26,Legislative District 16
Franklin,Legislative District 16 State Representative Pos. 2,Terry R. Nealey,(Prefers Republican Party),7542,47.74,Legislative District 16
Franklin,COUNTY OF FRANKLIN Commissioner #1,Neva J. Corkrum,(Prefers Democrat Party),8168,43.39,COUNTY OF FRANKLIN
Franklin,COUNTY OF FRANKLIN Commissioner #1,Brad Peck,(Prefers Republican Party),10656,56.61,COUNTY OF FRANKLIN
Franklin,COUNTY OF FRANKLIN Commissioner #2,Bob Koch,(Prefers Republican Party),9059,53.34,COUNTY OF FRANKLIN
Franklin,COUNTY OF FRANKLIN Commissioner #2,Lee Barrow,(Prefers Republican Party),7924,46.66,COUNTY OF FRANKLIN
Franklin,Supreme Court Justice Position 3,Mary Fairhurst,,14656,100,Supreme Court
Franklin,Supreme Court Justice Position 4,Charles W. Johnson,,14598,100,Supreme Court
Franklin,Supreme Court Justice Position 7,Debra L. Stephens,,14565,100,Supreme Court
Franklin,"Benton, Franklin Superior Court Judge Position 1",Bruce Spanner,,9130,49.72,"Benton, Franklin Superior Court"
Franklin,"Benton, Franklin Superior Court Judge Position 1",Salvador Mendoza Jr.,,9232,50.28,"Benton, Franklin Superior Court"
Franklin,PUD Commissioner #2 ,Bill Gordon,,15183,100,PUD
Garfield,Statewide Initiative Measure 985 concerns transportation,Yes,,321,24.64,Statewide
Garfield,Statewide Initiative Measure 985 concerns transportation,No,,982,75.36,Statewide
Garfield,Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions,Yes,,591,44.04,Statewide
Garfield,Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions,No,,751,55.96,Statewide
Garfield,Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities,Yes,,818,63.31,Statewide
Garfield,Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities,No,,474,36.69,Statewide
Garfield,United States President/Vice President,Barack Obama / Joe Biden,Democratic Party Nominees,385,28.04,United States
Garfield,United States President/Vice President,John McCain / Sarah Palin,Republican Party Nominees,968,70.5,United States
Garfield,United States President/Vice President,Ralph Nader / Matt Gonzalez,Independent Candidates,11,0.8,United States
Garfield,United States President/Vice President,Gloria La Riva / Eugene Puryear,Socialism & Liberation Party Nominees,0,0,United States
Garfield,United States President/Vice President,James E. Harris / Alyson Kennedy,Socialist Workers Party Nominees,2,0.15,United States
Garfield,United States President/Vice President,Bob Barr / Wayne A. Root,Libertarian Party Nominees,4,0.29,United States
Garfield,United States President/Vice President,Chuck Baldwin / Darrell L. Castle,Constitution Party Nominees,2,0.15,United States
Garfield,United States President/Vice President,Cynthia McKinney / Rosa Clemente,Green Party Nominees,1,0.07,United States
Garfield,U.S. Congressional District 5 Representative,Cathy McMorris Rodgers,(Prefers Republican Party),1081,80.91,U.S. Congressional District 5
Garfield,U.S. Congressional District 5 Representative,Mark Mays,(Prefers Democratic Party),255,19.09,U.S. Congressional District 5
Garfield,Washington State Governor,Christine Gregoire,(Prefers Democratic Party),434,32.01,Washington State
Garfield,Washington State Governor,Dino Rossi,(Prefers G.O.P. Party),922,67.99,Washington State
Garfield,Washington State Lt. Governor,Brad Owen,(Prefers Democratic Party),578,45.66,Washington State
Garfield,Washington State Lt. Governor,Marcia McCraw,(Prefers Republican Party),688,54.34,Washington State
Garfield,Washington State Secretary of State,Sam Reed,(Prefers Republican Party),964,76.57,Washington State
Garfield,Washington State Secretary of State,Jason Osgood,(Prefers Democratic Party),295,23.43,Washington State
Garfield,Washington State State Treasurer,Allan Martin,(Prefers Republican Party),850,68.77,Washington State
Garfield,Washington State State Treasurer,Jim McIntire,(Prefers Democratic Party),386,31.23,Washington State
Garfield,Washington State State Auditor,Brian Sonntag,(Prefers Democratic Party),548,43.56,Washington State
Garfield,Washington State State Auditor,J. Richard (Dick) McEntee,(Prefers Republican Party),710,56.44,Washington State
Garfield,Washington State Attorney General,Rob McKenna,(Prefers Republican Party),994,78.21,Washington State
Garfield,Washington State Attorney General,John Ladenburg,(Prefers Democratic Party),277,21.79,Washington State
Garfield,Washington State Commissioner of Public Lands,Doug Sutherland,(Prefers Republican Party),913,72.46,Washington State
Garfield,Washington State Commissioner of Public Lands,Peter J. Goldmark,(Prefers Democratic Party),347,27.54,Washington State
Garfield,Washington State Superintendent of Public Instruction,Teresa (Terry) Bergeson,,607,52.87,Washington State
Garfield,Washington State Superintendent of Public Instruction,Randy Dorn,,541,47.13,Washington State
Garfield,Washington State Insurance Commissioner,Mike Kreidler,(Prefers Democratic Party),446,37.23,Washington State
Garfield,Washington State Insurance Commissioner,John R. Adams,(Prefers Republican Party),752,62.77,Washington State
Garfield,Legislative District 9 State Senator,Mark G. Schoesler,(Prefers G.O.P. Party),1132,100,Legislative District 9
Garfield,Legislative District 9 State Representative Pos. 1,Steve Hailey,(Prefers G.O.P. Party),966,77.28,Legislative District 9
Garfield,Legislative District 9 State Representative Pos. 1,Kenneth E. Caylor,(Prefers Democratic Party),284,22.72,Legislative District 9
Garfield,Legislative District 9 State Representative Pos. 2,Joe Schmick,(Prefers Republican Party),966,77.4,Legislative District 9
Garfield,Legislative District 9 State Representative Pos. 2,Tyana Kelley,(Prefers Democratic Party),282,22.6,Legislative District 9
Garfield,COMMISSIONER DISTRICT 1 COUNTY COMMISSIONER #01,Bob Johnson,(Prefers Republican Party),694,53.06,COMMISSIONER DISTRICT 1
Garfield,COMMISSIONER DISTRICT 1 COUNTY COMMISSIONER #01,Randy Mulrony,(Prefers Republican Party),614,46.94,COMMISSIONER DISTRICT 1
Garfield,COMMISSIONER DISTRICT 2 COUNTY COMMISSIONER #02,Rick Slaybaugh,(Prefers Republican Party),636,47.39,COMMISSIONER DISTRICT 2
Garfield,COMMISSIONER DISTRICT 2 COUNTY COMMISSIONER #02,Wynne McCabe,(States No Party Preference),706,52.61,COMMISSIONER DISTRICT 2
Garfield,Supreme Court Justice Position 3,Mary Fairhurst,,934,100,Supreme Court
Garfield,Supreme Court Justice Position 4,Charles W. Johnson,,936,100,Supreme Court
Garfield,Supreme Court Justice Position 7,Debra L. Stephens,,937,100,Supreme Court
Garfield,"Asotin, Columbia, Garfield Superior Court Judge Position 1",William D. (Bill) Acey,,1089,100,"Asotin, Columbia, Garfield Superior Court"
Garfield,HOSPITAL DISTRICT 1 Proposition 1 Capital Levy to Improve Hospital Safety Systems,Yes,,872,64.26,HOSPITAL DISTRICT 1
Garfield,HOSPITAL DISTRICT 1 Proposition 1 Capital Levy to Improve Hospital Safety Systems,No,,485,35.74,HOSPITAL DISTRICT 1
Grant,Statewide Initiative Measure 985 concerns transportation,Yes,,8468,31.9,Statewide
Grant,Statewide Initiative Measure 985 concerns transportation,No,,18077,68.1,Statewide
Grant,Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions,Yes,,12408,45.69,Statewide
Grant,Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions,No,,14749,54.31,Statewide
Grant,Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities,Yes,,19286,72.06,Statewide
Grant,Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities,No,,7477,27.94,Statewide
Grant,United States President/Vice President,Barack Obama / Joe Biden,Democratic Party Nominees,9601,34.99,United States
Grant,United States President/Vice President,John McCain / Sarah Palin,Republican Party Nominees,17153,62.52,United States
Grant,United States President/Vice President,Ralph Nader / Matt Gonzalez,Independent Candidates,329,1.2,United States
Grant,United States President/Vice President,Gloria La Riva / Eugene Puryear,Socialism & Liberation Party Nominees,10,0.04,United States
Grant,United States President/Vice President,James E. Harris / Alyson Kennedy,Socialist Workers Party Nominees,9,0.03,United States
Grant,United States President/Vice President,Bob Barr / Wayne A. Root,Libertarian Party Nominees,104,0.38,United States
Grant,United States President/Vice President,Chuck Baldwin / Darrell L. Castle,Constitution Party Nominees,207,0.75,United States
Grant,United States President/Vice President,Cynthia McKinney / Rosa Clemente,Green Party Nominees,25,0.09,United States
Grant,U.S. Congressional District 4 Representative,Doc Hastings,(Prefers Republican Party),18460,69.17,U.S. Congressional District 4
Grant,U.S. Congressional District 4 Representative,George Fearing,(Prefers Democratic Party),8227,30.83,U.S. Congressional District 4
Grant,Washington State Governor,Christine Gregoire,(Prefers Democratic Party),8732,31.94,Washington State
Grant,Washington State Governor,Dino Rossi,(Prefers G.O.P. Party),18604,68.06,Washington State
Grant,Washington State Lt. Governor,Brad Owen,(Prefers Democratic Party),11153,42.98,Washington State
Grant,Washington State Lt. Governor,Marcia McCraw,(Prefers Republican Party),14797,57.02,Washington State
Grant,Washington State Secretary of State,Sam Reed,(Prefers Republican Party),17968,68.83,Washington State
Grant,Washington State Secretary of State,Jason Osgood,(Prefers Democratic Party),8138,31.17,Washington State
Grant,Washington State State Treasurer,Allan Martin,(Prefers Republican Party),16457,63.93,Washington State
Grant,Washington State State Treasurer,Jim McIntire,(Prefers Democratic Party),9285,36.07,Washington State
Grant,Washington State State Auditor,Brian Sonntag,(Prefers Democratic Party),11150,43.54,Washington State
Grant,Washington State State Auditor,J. Richard (Dick) McEntee,(Prefers Republican Party),14458,56.46,Washington State
Grant,Washington State Attorney General,Rob McKenna,(Prefers Republican Party),18699,71.77,Washington State
Grant,Washington State Attorney General,John Ladenburg,(Prefers Democratic Party),7356,28.23,Washington State
Grant,Washington State Commissioner of Public Lands,Doug Sutherland,(Prefers Republican Party),16502,64.28,Washington State
Grant,Washington State Commissioner of Public Lands,Peter J. Goldmark,(Prefers Democratic Party),9170,35.72,Washington State
Grant,Washington State Superintendent of Public Instruction,Teresa (Terry) Bergeson,,11397,47.28,Washington State
Grant,Washington State Superintendent of Public Instruction,Randy Dorn,,12710,52.72,Washington State
Grant,Washington State Insurance Commissioner,Mike Kreidler,(Prefers Democratic Party),10201,40.67,Washington State
Grant,Washington State Insurance Commissioner,John R. Adams,(Prefers Republican Party),14883,59.33,Washington State
Grant,Legislative District 12 State Senator,Linda Evans Parlette,(Prefers G.O.P. Party),1715,100,Legislative District 12
Grant,Legislative District 12 State Representative Pos. 1,Cary Condotta,(Prefers Republican Party),1636,100,Legislative District 12
Grant,Legislative District 12 State Representative Pos. 2,Mike Armstrong,(Prefers Republican Party),1027,54.77,Legislative District 12
Grant,Legislative District 12 State Representative Pos. 2,Courtney Cox,(Prefers Republican Party),848,45.23,Legislative District 12
Grant,Legislative District 13 State Representative Pos. 1,Judith (Judy) Warnick,(Prefers Republican Party),19747,100,Legislative District 13
Grant,Legislative District 13 State Representative Pos. 2,Bill Hinkle,(Prefers G.O.P. Party),19103,100,Legislative District 13
Grant,Grant COUNTY COMMISSIONER #01,Richard Stevens,(Prefers Republican Party),20103,100,Grant
Grant,Grant COUNTY COMMISSIONER #02,Carolann Swartz,(Prefers Republican Party),11872,50.78,Grant
Grant,Grant COUNTY COMMISSIONER #02,LeRoy Allison,(Prefers Republican Party),11507,49.22,Grant
Grant,Supreme Court Justice Position 3,Mary Fairhurst,,18731,100,Supreme Court
Grant,Supreme Court Justice Position 4,Charles W. Johnson,,18708,100,Supreme Court
Grant,Supreme Court Justice Position 7,Debra L. Stephens,,18842,100,Supreme Court
Grant,Grant Superior Court Judge Position 1,Evan E. Sperline,,19793,100,Grant Superior Court
Grant,Grant Superior Court Judge Position 3,John M. Antosz,,19158,100,Grant Superior Court
Grant,Fire Dist #13 Proposition 1  Emergency Medical Services Levy for six consecutive years,Yes,,505,57.39,Fire Dist #13
Grant,Fire Dist #13 Proposition 1  Emergency Medical Services Levy for six consecutive years,No,,375,42.61,Fire Dist #13
Grant,Cemetery Dist #2 Proposition No. 1 Special One Year Maintenance and Operation Levy,SPECIAL LEVY YES,,98,61.25,Cemetery Dist #2
Grant,Cemetery Dist #2 Proposition No. 1 Special One Year Maintenance and Operation Levy,SPECIAL LEVY NO,,62,38.75,Cemetery Dist #2
Grant,Port Dist #7 Comm Dist #1 Port 7  Proposition 1 Port 7 Proposition 1,Yes,,363,43.79,Port Dist #7 Comm Dist #1
Grant,Port Dist #7 Comm Dist #1 Port 7  Proposition 1 Port 7 Proposition 1,No,,466,56.21,Port Dist #7 Comm Dist #1
Grant,PUD Comm Dist #3 PUBLIC UTILITY COMMISSIONER #03,Don Long,,11465,47.76,PUD Comm Dist #3
Grant,PUD Comm Dist #3 PUBLIC UTILITY COMMISSIONER #03,Randy Allred,,12540,52.24,PUD Comm Dist #3
Grant,PUD Comm Dist #A At Large PUBLIC UTILITY COMMISSIONER A AL,Tom Flint,,13884,60.64,PUD Comm Dist #A At Large
Grant,PUD Comm Dist #A At Large PUBLIC UTILITY COMMISSIONER A AL,Sam A. Johnson,,9012,39.36,PUD Comm Dist #A At Large
GraysHarbor,Statewide Initiative Measure 985 concerns transportation,Yes,,11448,40.51,Statewide
GraysHarbor,Statewide Initiative Measure 985 concerns transportation,No,,16811,59.49,Statewide
GraysHarbor,Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions,Yes,,17553,60.52,Statewide
GraysHarbor,Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions,No,,11450,39.48,Statewide
GraysHarbor,Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities,Yes,,22044,76.67,Statewide
GraysHarbor,Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities,No,,6708,23.33,Statewide
GraysHarbor,United States President/Vice President,Barack Obama / Joe Biden,Democratic Party Nominees,16354,56.04,United States
GraysHarbor,United States President/Vice President,John McCain / Sarah Palin,Republican Party Nominees,12104,41.47,United States
GraysHarbor,United States President/Vice President,Ralph Nader / Matt Gonzalez,Independent Candidates,420,1.44,United States
GraysHarbor,United States President/Vice President,Gloria La Riva / Eugene Puryear,Socialism & Liberation Party Nominees,11,0.04,United States
GraysHarbor,United States President/Vice President,James E. Harris / Alyson Kennedy,Socialist Workers Party Nominees,4,0.01,United States
GraysHarbor,United States President/Vice President,Bob Barr / Wayne A. Root,Libertarian Party Nominees,132,0.45,United States
GraysHarbor,United States President/Vice President,Chuck Baldwin / Darrell L. Castle,Constitution Party Nominees,109,0.37,United States
GraysHarbor,United States President/Vice President,Cynthia McKinney / Rosa Clemente,Green Party Nominees,50,0.17,United States
GraysHarbor,U.S. Congressional District 6 Representative,Norm Dicks,(Prefers Democratic Party),18783,66.64,U.S. Congressional District 6
GraysHarbor,U.S. Congressional District 6 Representative,Doug Cloud,(Prefers Republican Party),9403,33.36,U.S. Congressional District 6
GraysHarbor,Washington State Governor,Christine Gregoire,(Prefers Democratic Party),15729,53.98,Washington State
GraysHarbor,Washington State Governor,Dino Rossi,(Prefers G.O.P. Party),13407,46.02,Washington State
GraysHarbor,Washington State Lt. Governor,Brad Owen,(Prefers Democratic Party),19540,70.04,Washington State
GraysHarbor,Washington State Lt. Governor,Marcia McCraw,(Prefers Republican Party),8360,29.96,Washington State
GraysHarbor,Washington State Secretary of State,Sam Reed,(Prefers Republican Party),15940,57.67,Washington State
GraysHarbor,Washington State Secretary of State,Jason Osgood,(Prefers Democratic Party),11698,42.33,Washington State
GraysHarbor,Washington State State Treasurer,Allan Martin,(Prefers Republican Party),12111,44.68,Washington State
GraysHarbor,Washington State State Treasurer,Jim McIntire,(Prefers Democratic Party),14995,55.32,Washington State
GraysHarbor,Washington State State Auditor,Brian Sonntag,(Prefers Democratic Party),18257,66.28,Washington State
GraysHarbor,Washington State State Auditor,J. Richard (Dick) McEntee,(Prefers Republican Party),9288,33.72,Washington State
GraysHarbor,Washington State Attorney General,Rob McKenna,(Prefers Republican Party),17051,61.29,Washington State
GraysHarbor,Washington State Attorney General,John Ladenburg,(Prefers Democratic Party),10771,38.71,Washington State
GraysHarbor,Washington State Commissioner of Public Lands,Doug Sutherland,(Prefers Republican Party),16852,60.53,Washington State
GraysHarbor,Washington State Commissioner of Public Lands,Peter J. Goldmark,(Prefers Democratic Party),10988,39.47,Washington State
GraysHarbor,Washington State Superintendent of Public Instruction,Teresa (Terry) Bergeson,,11809,45.72,Washington State
GraysHarbor,Washington State Superintendent of Public Instruction,Randy Dorn,,14019,54.28,Washington State
GraysHarbor,Washington State Insurance Commissioner,Mike Kreidler,(Prefers Democratic Party),17126,64.01,Washington State
GraysHarbor,Washington State Insurance Commissioner,John R. Adams,(Prefers Republican Party),9629,35.99,Washington State
GraysHarbor,Legislative District 19 State Senator,Brian Hatfield,(Prefers Democratic Party),7141,100,Legislative District 19
GraysHarbor,Legislative District 19 State Representative Pos. 1,Dean Takko,(Prefers Democratic Party),6808,100,Legislative District 19
GraysHarbor,Legislative District 19 State Representative Pos. 2,Brian E. Blake,(Prefers Democratic Party),6850,100,Legislative District 19
GraysHarbor,Legislative District 24 State Senator,Jim Hargrove,(Prefers Democratic Party),10723,100,Legislative District 24
GraysHarbor,Legislative District 24 State Representative Pos. 1,Kevin Van De Wege,(Prefers Democratic Party),8502,65.69,Legislative District 24
GraysHarbor,Legislative District 24 State Representative Pos. 1,Thomas Thomas,(Prefers G.O.P. Party),4440,34.31,Legislative District 24
GraysHarbor,Legislative District 24 State Representative Pos. 2,Lynn Kessler,(Prefers Democratic Party),8911,66.62,Legislative District 24
GraysHarbor,Legislative District 24 State Representative Pos. 2,Robert (Randy) Dutton,(Prefers Republican Party),4464,33.38,Legislative District 24
GraysHarbor,Legislative District 35 State Representative Pos. 1,Kathy Haigh,(Prefers Democratic Party),3169,61.59,Legislative District 35
GraysHarbor,Legislative District 35 State Representative Pos. 1,Marco Brown,(Prefers Republican Party),1976,38.41,Legislative District 35
GraysHarbor,Legislative District 35 State Representative Pos. 2,Fred Finn,(Prefers Democratic Party),2746,54.56,Legislative District 35
GraysHarbor,Legislative District 35 State Representative Pos. 2,Randy Neatherlin,(Prefers (G.O.P.) Party),2287,45.44,Legislative District 35
GraysHarbor,Grays Harbor Commissioner #1,Ken Estes,(Prefers Republican Party),11777,42.95,Grays Harbor
GraysHarbor,Grays Harbor Commissioner #1,Terry Willis,(Prefers Democratic Party),15642,57.05,Grays Harbor
GraysHarbor,Grays Harbor Commissioner #2,Mike Wilson,(Prefers Democrat Party),16290,60.7,Grays Harbor
GraysHarbor,Grays Harbor Commissioner #2,Frank Moses,(Prefers Republican Party),10546,39.3,Grays Harbor
GraysHarbor,Supreme Court Justice Position 3,Mary Fairhurst,,19149,100,Supreme Court
GraysHarbor,Supreme Court Justice Position 4,Charles W. Johnson,,19004,100,Supreme Court
GraysHarbor,Supreme Court Justice Position 7,Debra L. Stephens,,18908,100,Supreme Court
GraysHarbor,"Court of Appeals, Division 2, District 2 Judge Position 1",(Joyce) Robin Hunt,,18922,100,"Court of Appeals, Division 2, District 2"
GraysHarbor,Grays Harbor Superior Court Judge Position 1,Gordon L. Godfrey,,20786,100,Grays Harbor Superior Court
GraysHarbor,Grays Harbor Superior Court Judge Position 2,Dave Edwards,,19983,100,Grays Harbor Superior Court
GraysHarbor,Grays Harbor Superior Court Judge Position 3,F. Mark McCauley,,20466,100,Grays Harbor Superior Court
GraysHarbor,Fire District 005-Elma Rural EMS Levy,Levy Yes,,1123,51.3,Fire District 005-Elma Rural
GraysHarbor,Fire District 005-Elma Rural EMS Levy,Levy No,,1066,48.7,Fire District 005-Elma Rural
GraysHarbor,Fire District 012 McCleary Rural Property Tax Levy,Levy Yes,,290,44.55,Fire District 012 McCleary Rural
GraysHarbor,Fire District 012 McCleary Rural Property Tax Levy,Levy No,,361,55.45,Fire District 012 McCleary Rural
GraysHarbor,City of Ocean Shores Ocean Shores Advisory Ballot,Retain,,1876,66.69,City of Ocean Shores
GraysHarbor,City of Ocean Shores Ocean Shores Advisory Ballot,Sell,,937,33.31,City of Ocean Shores
GraysHarbor,Public Utility District 0001 PUD Comm 2,Truman Seely,,19117,100,Public Utility District 0001
GraysHarbor,Public Utility District 0001 PUD Comm 3,Russ Skolrood,,14307,57.71,Public Utility District 0001
GraysHarbor,Public Utility District 0001 PUD Comm 3,Jim Eddy,,10486,42.29,Public Utility District 0001
Island,Statewide Initiative Measure 985 concerns transportation,Yes,,15349,37.81,Statewide
Island,Statewide Initiative Measure 985 concerns transportation,No,,25243,62.19,Statewide
Island,Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions,Yes,,24338,58.8,Statewide
Island,Statewide Initiative Measure 1000 concerns allowing certain terminally ill competent adults to obtain lethal prescriptions,No,,17052,41.2,Statewide
Island,Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities,Yes,,30897,75.54,Statewide
Island,Statewide Initiative Measure 1029 concerns long-term care services for the elderly and persons with disabilities,No,,10007,24.46,Statewide
Island,United States President/Vice President,Barack Obama / Joe Biden,Democratic Party Nominees,22058,52.32,United States
Island,United States President/Vice President,John McCain / Sarah Palin,Republican Party Nominees,19426,46.08,United States
Island,United States President/Vice President,Ralph Nader / Matt Gonzalez,Independent Candidates,350,0.83,United States
Island,United States President/Vice President,Gloria La Riva / Eugene Puryear,Socialism & Liberation Party Nominees,4,0.01,United States
Island,United States President/Vice President,James E. Harris / Alyson Kennedy,Socialist Workers Party Nominees,6,0.01,United States
Island,United States President/Vice President,Bob Barr / Wayne A. Root,Libertarian Party Nominees,173,0.41,United States
Island,United States President/Vice President,Chuck Baldwin / Darrell L. Castle,Constitution Party Nominees,93,0.22,United States
Island,United States President/Vice President,Cynthia McKinney / Rosa Clemente,Green Party Nominees,49,0.12,United States
Island,U.S. Congressional District 2 Representative,Rick Larsen,(Prefers Democratic Party),24948,61.7,U.S. Congressional District 2
Island,U.S. Congressional District 2 Representative,Rick Bart,(Prefers Republican Party),15489,38.3,U.S. Congressional District 2
Island,Washington State Governor,Christine Gregoire,(Prefers Democratic Party),20891,50.24,Washington State
Island,Washington State Governor,Dino Rossi,(Prefers G.O.P. Party),20688,49.76,Washington State
Island,Washington State Lt. Governor,Brad Owen,(Prefers Democratic Party),22150,56.36,Washington State
Island,Washington State Lt. Governor,Marcia McCraw,(Prefers Republican Party),17149,43.64,Washington State
Island,Washington State Secretary of State,Sam Reed,(Prefers Republican Party),24352,62.2,Washington State
Island,Washington State Secretary of State,Jason Osgood,(Prefers Democratic Party),14802,37.8,Washington State
Island,Washington State State Treasurer,Allan Martin,(Prefers Republican Party),20856,53.91,Washington State
Island,Washington State State Treasurer,Jim McIntire,(Prefers Democratic Party),17834,46.09,Washington State
Island,Washington State State Auditor,Brian Sonntag,(Prefers Democratic Party),22550,58.3,Washington State
Island,Washington State State Auditor,J. Richard (Dick) McEntee,(Prefers Republican Party),16131,41.7,Washington State
Island,Washington State Attorney General,Rob McKenna,(Prefers Republican Party),25531,64.55,Washington State
Island,Washington State Attorney General,John Ladenburg,(Prefers Democratic Party),14022,35.45,Washington State
